Country,year,metric,amount
Algeria,1949,USD Constant,NA
Algeria,1949,USD Current,NA
Algeria,1949,GDP Percent,NA
Algeria,1949,Government Percent,NA
Algeria,1949,Military Capita Spending,NA
Algeria,1950,USD Constant,NA
Algeria,1950,USD Current,NA
Algeria,1950,GDP Percent,NA
Algeria,1950,Government Percent,NA
Algeria,1950,Military Capita Spending,NA
Algeria,1951,USD Constant,NA
Algeria,1951,USD Current,NA
Algeria,1951,GDP Percent,NA
Algeria,1951,Government Percent,NA
Algeria,1951,Military Capita Spending,NA
Algeria,1952,USD Constant,NA
Algeria,1952,USD Current,NA
Algeria,1952,GDP Percent,NA
Algeria,1952,Government Percent,NA
Algeria,1952,Military Capita Spending,NA
Algeria,1953,USD Constant,NA
Algeria,1953,USD Current,NA
Algeria,1953,GDP Percent,NA
Algeria,1953,Government Percent,NA
Algeria,1953,Military Capita Spending,NA
Algeria,1954,USD Constant,NA
Algeria,1954,USD Current,NA
Algeria,1954,GDP Percent,NA
Algeria,1954,Government Percent,NA
Algeria,1954,Military Capita Spending,NA
Algeria,1955,USD Constant,NA
Algeria,1955,USD Current,NA
Algeria,1955,GDP Percent,NA
Algeria,1955,Government Percent,NA
Algeria,1955,Military Capita Spending,NA
Algeria,1956,USD Constant,NA
Algeria,1956,USD Current,NA
Algeria,1956,GDP Percent,NA
Algeria,1956,Government Percent,NA
Algeria,1956,Military Capita Spending,NA
Algeria,1957,USD Constant,NA
Algeria,1957,USD Current,NA
Algeria,1957,GDP Percent,NA
Algeria,1957,Government Percent,NA
Algeria,1957,Military Capita Spending,NA
Algeria,1958,USD Constant,NA
Algeria,1958,USD Current,NA
Algeria,1958,GDP Percent,NA
Algeria,1958,Government Percent,NA
Algeria,1958,Military Capita Spending,NA
Algeria,1959,USD Constant,NA
Algeria,1959,USD Current,NA
Algeria,1959,GDP Percent,NA
Algeria,1959,Government Percent,NA
Algeria,1959,Military Capita Spending,NA
Algeria,1960,USD Constant,NA
Algeria,1960,USD Current,NA
Algeria,1960,GDP Percent,NA
Algeria,1960,Government Percent,NA
Algeria,1960,Military Capita Spending,NA
Algeria,1961,USD Constant,NA
Algeria,1961,USD Current,NA
Algeria,1961,GDP Percent,NA
Algeria,1961,Government Percent,NA
Algeria,1961,Military Capita Spending,NA
Algeria,1962,USD Constant,NA
Algeria,1962,USD Current,NA
Algeria,1962,GDP Percent,NA
Algeria,1962,Government Percent,NA
Algeria,1962,Military Capita Spending,NA
Algeria,1963,USD Constant,NA
Algeria,1963,USD Current,66436300
Algeria,1963,GDP Percent,2.51
Algeria,1963,Government Percent,NA
Algeria,1963,Military Capita Spending,NA
Algeria,1964,USD Constant,NA
Algeria,1964,USD Current,99857000
Algeria,1964,GDP Percent,3.5
Algeria,1964,Government Percent,NA
Algeria,1964,Military Capita Spending,NA
Algeria,1965,USD Constant,NA
Algeria,1965,USD Current,105528391
Algeria,1965,GDP Percent,3.42
Algeria,1965,Government Percent,NA
Algeria,1965,Military Capita Spending,NA
Algeria,1966,USD Constant,NA
Algeria,1966,USD Current,104515643
Algeria,1966,GDP Percent,3.51
Algeria,1966,Government Percent,NA
Algeria,1966,Military Capita Spending,NA
Algeria,1967,USD Constant,NA
Algeria,1967,USD Current,99249351
Algeria,1967,GDP Percent,3.02
Algeria,1967,Government Percent,NA
Algeria,1967,Military Capita Spending,NA
Algeria,1968,USD Constant,NA
Algeria,1968,USD Current,99249351
Algeria,1968,GDP Percent,2.61
Algeria,1968,Government Percent,NA
Algeria,1968,Military Capita Spending,NA
Algeria,1969,USD Constant,235778645
Algeria,1969,USD Current,99249351
Algeria,1969,GDP Percent,2.39
Algeria,1969,Government Percent,NA
Algeria,1969,Military Capita Spending,NA
Algeria,1970,USD Constant,220277995
Algeria,1970,USD Current,98844251
Algeria,1970,GDP Percent,2.13
Algeria,1970,Government Percent,NA
Algeria,1970,Military Capita Spending,NA
Algeria,1971,USD Constant,215959903
Algeria,1971,USD Current,99946261
Algeria,1971,GDP Percent,2.09
Algeria,1971,Government Percent,NA
Algeria,1971,Military Capita Spending,NA
Algeria,1972,USD Constant,209021161
Algeria,1972,USD Current,109942841
Algeria,1972,GDP Percent,1.8
Algeria,1972,Government Percent,NA
Algeria,1972,Military Capita Spending,NA
Algeria,1973,USD Constant,216571591
Algeria,1973,USD Current,136757098
Algeria,1973,GDP Percent,1.69
Algeria,1973,Government Percent,NA
Algeria,1973,Military Capita Spending,NA
Algeria,1974,USD Constant,415189321
Algeria,1974,USD Current,260168630
Algeria,1974,GDP Percent,1.96
Algeria,1974,Government Percent,NA
Algeria,1974,Military Capita Spending,NA
Algeria,1975,USD Constant,462794455
Algeria,1975,USD Current,332252159
Algeria,1975,GDP Percent,2.13
Algeria,1975,Government Percent,NA
Algeria,1975,Military Capita Spending,NA
Algeria,1976,USD Constant,645002105
Algeria,1976,USD Current,480640374
Algeria,1976,GDP Percent,2.7
Algeria,1976,Government Percent,NA
Algeria,1976,Military Capita Spending,NA
Algeria,1977,USD Constant,562884310
Algeria,1977,USD Current,471669448
Algeria,1977,GDP Percent,2.24
Algeria,1977,Government Percent,NA
Algeria,1977,Military Capita Spending,NA
Algeria,1978,USD Constant,609741028
Algeria,1978,USD Current,627852442
Algeria,1978,GDP Percent,2.38
Algeria,1978,Government Percent,NA
Algeria,1978,Military Capita Spending,NA
Algeria,1979,USD Constant,603082324
Algeria,1979,USD Current,711681247
Algeria,1979,GDP Percent,2.14
Algeria,1979,Government Percent,NA
Algeria,1979,Military Capita Spending,NA
Algeria,1980,USD Constant,685954061
Algeria,1980,USD Current,890174465
Algeria,1980,GDP Percent,2.1
Algeria,1980,Government Percent,NA
Algeria,1980,Military Capita Spending,NA
Algeria,1981,USD Constant,609662172
Algeria,1981,USD Current,806569335
Algeria,1981,GDP Percent,1.82
Algeria,1981,Government Percent,NA
Algeria,1981,Military Capita Spending,NA
Algeria,1982,USD Constant,703892806
Algeria,1982,USD Current,932452708
Algeria,1982,GDP Percent,2.06
Algeria,1982,Government Percent,NA
Algeria,1982,Military Capita Spending,NA
Algeria,1983,USD Constant,707540151
Algeria,1983,USD Current,952430672
Algeria,1983,GDP Percent,1.95
Algeria,1983,Government Percent,NA
Algeria,1983,Military Capita Spending,NA
Algeria,1984,USD Constant,664465718
Algeria,1984,USD Current,929290821
Algeria,1984,GDP Percent,1.76
Algeria,1984,Government Percent,NA
Algeria,1984,Military Capita Spending,NA
Algeria,1985,USD Constant,622462710
Algeria,1985,USD Current,953299654
Algeria,1985,GDP Percent,1.64
Algeria,1985,Government Percent,NA
Algeria,1985,Military Capita Spending,NA
Algeria,1986,USD Constant,612527424
Algeria,1986,USD Current,1127103217
Algeria,1986,GDP Percent,1.79
Algeria,1986,Government Percent,NA
Algeria,1986,Military Capita Spending,NA
Algeria,1987,USD Constant,624424655
Algeria,1987,USD Current,1196971384
Algeria,1987,GDP Percent,1.86
Algeria,1987,Government Percent,NA
Algeria,1987,Military Capita Spending,NA
Algeria,1988,USD Constant,617907739
Algeria,1988,USD Current,1028611425
Algeria,1988,GDP Percent,1.75
Algeria,1988,Government Percent,NA
Algeria,1988,Military Capita Spending,42
Algeria,1989,USD Constant,603963613
Algeria,1989,USD Current,854300945
Algeria,1989,GDP Percent,1.54
Algeria,1989,Government Percent,NA
Algeria,1989,Military Capita Spending,34
Algeria,1990,USD Constant,645191214
Algeria,1990,USD Current,904269155
Algeria,1990,GDP Percent,1.46
Algeria,1990,Government Percent,5.68
Algeria,1990,Military Capita Spending,35
Algeria,1991,USD Constant,660514871
Algeria,1991,USD Current,565098063
Algeria,1991,GDP Percent,1.21
Algeria,1991,Government Percent,4.36
Algeria,1991,Military Capita Spending,21
